"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"Many boys and men have found their way into my heart. These are the special ones: secret loves, caretaking loves and my heart’s delight. Valentines to them all.","Many boys and men have found their way into my heart. These are the special ones: secret loves, caretaking loves and my heart’s delight. Valentines to them all.","MANY boys and men have found their way into my heart. These are the special ones: secret loves, caretaking loves, a man who snipped, another who snapped and my heart’s delight. Valentines to them all.","The New York Times","2012-02-10T20:10:43+0000","article","Fashion & Style","News","nyt://article/850cf7cc-8fb5-5cc7-a295-72a15fa19905","Weddings","Hoping Cupid’s Quiver Contains Lots of Extra Arrows",NA,NA,"Hoping Cupid’s Quiver Contains Lots of Extra Arrows",NA,NA,NA
"Families are fracturing under economic stress. The recession may officially be over, but it isn’t going away.","Families are fracturing under economic stress. The recession may officially be over, but it isn’t going away.","The recession that began in late 2007 ended officially in June 2009, but much of the country is still suffering. ","The New York Times","2010-11-19T03:29:27+0000","article","Opinion","Editorial","nyt://article/df944b85-f1cd-5997-a671-1af8312a3199",NA,"It’s Not Over","Editorial",NA,"It’s Not Over",NA,NA,NA
"A culture of consent, one woman argues, should be less about self-protection and more about genuine care for the other person. ","A culture of consent, one woman argues, should be less about self-protection and more about genuine care for the other person. ","For our first date, he took an Uber to my apartment through a winter storm. As the snow fell outside, we sat close on my couch while he talked touchingly about poetry. Two hours in, I was hoping he would kiss me, and he did.","The New York Times","2018-09-07T04:00:07+0000","article","Style","News","nyt://article/2bf92516-f303-50ae-8993-1959a43d8503",NA,"He Asked Permission to Touch, but Not to Ghost ","Modern Love",NA,"He Asked Permission to Touch, but Not to Ghost ",NA,NA,NA
"A selection of recent books of interest; plus, a peek at what our colleagues around the newsroom are reading.","A selection of recent books of interest; plus, a peek at what our colleagues around the newsroom are reading.","THE JOURNAL I DID NOT KEEP: New and Selected Writing, by Lore Segal. (Melville House, $28.99.) For almost six decades Segal has quietly produced some of the best fiction and essays in American literature, as this generous sampler attests.","The New York Times","2019-07-23T09:00:01+0000","article","Books","News","nyt://article/9317400c-0ab7-59d4-9a7e-7fbe628b22b0","Book Review","New & Noteworthy Books, From a Horrific Childhood to an Undersung Master",NA,NA,"New &amp; Noteworthy",NA,NA,NA
"“Goats,” directed by Christopher Neil, is a modern-day coming-of-age story.","“Goats,” directed by Christopher Neil, is a modern-day coming-of-age story.","If the aimless characters in “Goats” didn’t feel so uncomfortably lifelike, it would be tempting to heap scorn on this wispy screen adaptation of Mark Jude Poirier’s 2001 novel, directed by Christopher Neil from a screenplay by Mr. Poirier. The story is narrated by a 15-year-old named Ellis Whitman (Graham Phillips), a latter-day Holden Caulfield, without the quirks and the pathos, who lives with his nightmarish mother, Wendy (Vera Farmiga), on the outskirts of Tucson. ","The New York Times","2012-08-09T23:18:56+0000","article","Movies","Review","nyt://article/d9b72b1e-5387-5f82-9c1d-8565bb5f47b5",NA,"Hard to Have Dreams if Mom’s a Nightmare","Movie Review",NA,"Hard to Have Dreams If Mom’s a Nightmare",NA,NA,NA
"Six new paperbacks to check out this week.","Six new paperbacks to check out this week.","ALL BLOOD RUNS RED: The Legendary Life of Eugene Bullard — Boxer, Pilot, Soldier, Spy, by Phil Keith with Tom Clavin. (Hanover Square, 352 pp., $17.99.) This “absorbing” biography of the first Black American fighter pilot “reads like a picaresque novel,” our reviewer, Thomas E. Ricks, noted. Bullard fled the Jim Crow South as a boy by stowing away on a freighter to Europe, where he fought for the French Foreign Legion and ran a Paris nightclub, among other exploits.","The New York Times","2020-10-30T09:02:19+0000","article","Books","List","nyt://article/9a04409a-a27e-57b2-a018-34d606749551","Book Review","New in Paperback: ‘All Blood Runs Red’ and ‘Frankissstein’",NA,NA,"Paperback Row",NA,NA,NA
"An early evening rally in Manhattan drew a crowd of Jets fans to Times Square on Thursday.","An early evening rally in Manhattan drew a crowd of Jets fans to Times Square on Thursday.","A noisy green interlude descended upon Times Square during rush hour Thursday evening.","The New York Times","2011-01-21T01:53:22+0000","article","Sports","News","nyt://article/bce34a70-e104-5e89-87b5-f2766ebef830","Pro Football","Jets Fans Jam Times Square",NA,NA,"The Jets and Their Fans Meet at the Crossroads",NA,NA,NA
"The police in four states will have to drop an age-old method of telling whether a car has been parked too long: an appeals court says it violates the Fourth Amendment’s ban on unreasonable searches.","The police in four states will have to drop an age-old method of telling whether a car has been parked too long: an appeals court says it violates the Fourth Amendment’s ban on unreasonable searches.","There is a dance that takes place every weekday in cities and towns across the country, and it begins with people walking outside to look at their tires.","The New York Times","2019-04-25T07:00:04+0000","article","U.S.","News","nyt://article/46ec08a7-8f9f-503c-a612-591ad48e3101",NA,"Lose the Chalk, Officer: Court Finds Marking Tires of Parked Cars Unconstitutional",NA,NA,"Parking Police Scramble as Court Tells Them to Put Away the Chalk",NA,NA,NA
"“I Understand Everything Better,” starring David Neumann at Abrons Arts, suggests that everything in life can be understood by looking to nature.","“I Understand Everything Better,” starring David Neumann at Abrons Arts, suggests that everything in life can be understood by looking to nature.","Hurricane Sandy is a marker for the choreographer David Neumann, whose life around that time underwent serious turbulence. His mother died the summer before the hurricane, his father a few weeks after the storm. (Both were esteemed actors in the experimental theater company Mabou Mines.) Somewhere along the way, Mr. Neumann turned to a quote from Albert Einstein: “Look deep into nature and you will understand everything better.” ","The New York Times","2015-04-20T21:25:01+0000","article","Arts","Review","nyt://article/14099707-8b88-53ed-8e94-b1f32e02fc54","Dance","Review: In ‘I Understand Everything Better,’ Ruthless Elemental Forces",NA,NA,"Nature, Cruel and Inexorable Yet Somehow Purgative",NA,NA,NA
"If you were a dog, would you rather belong to the senator from Texas or the one from Utah?","If you were a dog, would you rather belong to the senator from Texas or the one from Utah?","So if you were a dog, would you rather belong to Ted Cruz or Mitt Romney?","The New York Times","2021-02-19T22:20:11+0000","article","Opinion","Op-Ed","nyt://article/c582d3ea-1356-5913-95e0-511362ad3275",NA,"Ted Cruz Is Going to the Dogs",NA,NA,NA,NA,NA,NA
"Doing chores—including cooking—has developmental benefits for children.","Doing chores—including cooking—has developmental benefits for children.","Chores: Something to look forward to!","The New York Times","2015-05-20T18:31:00+0000","article","U.S.","News","nyt://article/fd23c60f-1f32-5432-903a-7c727b8fd860",NA,"Make the Kids Make Dinner. It’s Good for Them.","Motherlode",NA,NA,NA,NA,NA
"Self-harm seems to run in Camille’s family, whatever its form.","Self-harm seems to run in Camille’s family, whatever its form.","You may have noticed by now that “Sharp Objects,” unlike most whodunits, isn’t particularly concerned with plot. The show’s most recent episode, “Fix,” is its least structured hour to date. Camille meanders around Wind Gap, half drunk, blasting music, fumbling through abortive interviews, arguing with Adora, running into Amma, trading quips with Detective Willis. The flashbacks to her time in rehab are more substantive than anything that happens in the present.","The New York Times","2018-07-23T02:00:01+0000","article","Arts","Review","nyt://article/fde6a234-6704-597c-85d0-7e399b80b930","Television","‘Sharp Objects’ Episode 3 Recap: Every Rose Has Its Thorn","Sharp Objects",NA,NA,NA,NA,NA
"A question for Wal-Mart as it moves its sustainability push into the blogosphere.","A question for Wal-Mart as it moves its sustainability push into the blogosphere.","When Wal-Mart launched its “Green Room” blog earlier this month, I posed an initial question via Twitter:","The New York Times","2012-01-12T22:19:56+0000","article","Opinion","News","nyt://article/b268ca8c-1149-5ce7-b080-891117ccff38",NA,"Can Wal-Mart Push Both Sustainability and Consumption?","Dot Earth",NA,NA,NA,NA,NA
"Mr. Joseph, a civil liberties lawyer in Chicago, took on tough cases like the one involving Nazis’ right to march through a largely Jewish area.","Mr. Joseph, a civil liberties lawyer in Chicago, took on tough cases like the one involving Nazis’ right to march through a largely Jewish area.","Burton Joseph, a civil liberties lawyer in Chicago who took on tough First Amendment causes, notably the right of Nazis to march through Skokie, a Chicago suburb with a large Jewish population, died on Wednesday at his home in San Francisco. He was 79 and maintained his primary residence in Evanston, Ill.","The New York Times","2010-04-03T22:37:34+0000","article","U.S.","Obituary (Obit)","nyt://article/bf9fc152-ecf8-535c-a6db-486ba927ab47",NA,"Burton Joseph, Lawyer in First Amendment Cases, Is Dead at 79",NA,NA,"Burton Joseph, 79, Lawyer In First Amendment Cases",NA,NA,NA
"Grandparents can play a vital role in a child’s life, but visits from them aren’t always a sure thing.","Grandparents can play a vital role in a child’s life, but visits from them aren’t always a sure thing.","This story was originally published on Nov. 21, 2019 in NYT Parenting.","The New York Times","2020-04-17T15:03:37+0000","article","Parenting","News","nyt://article/f3544d82-bc9f-5df9-b283-1e758fe6d74e",NA,"When the Grandparents Don’t Visit",NA,NA,NA,NA,NA,NA
"The artist’s exhibition in St. Nicholas Park, mounted by the Studio Museum in Harlem, revolves around questions like: “How much of life is coping?”","The artist’s exhibition in St. Nicholas Park, mounted by the Studio Museum in Harlem, revolves around questions like: “How much of life is coping?”","Dear New Yorker, are you elated that museums have reopened but find yourself a bit queasy about being indoors with hundreds of other art lovers? There’s a very fine museum exhibition you can see now, in the flesh but outdoors.","The New York Times","2020-09-01T17:57:28+0000","article","Arts","News","nyt://article/4cc798b3-f0bb-5ce0-b5e5-27f3a932f381","Art & Design","This Way to Chloë Bass’s Outdoor Art Show",NA,NA,"An Outdoor Exhibition That Nearly Disappears",NA,NA,NA
"A young couple headed East from Oregon and became the new caretakers of the Ralph Waldo Emerson House in Concord, Mass., making their home in the servants’ wing.","A young couple headed East from Oregon and became the new caretakers of the Ralph Waldo Emerson House in Concord, Mass., making their home in the servants’ wing.","Concord, Mass.","The New York Times","2010-09-15T23:06:38+0000","article","Home & Garden","News","nyt://article/adb5efb3-e1e2-5675-8d1b-d9af5c9fbf06",NA,"Keeping Mr. Emerson’s House",NA,NA,"Keeping Mr. Emerson’s House",NA,NA,NA
"My mother’s essay in this blog drew outrage and a bit of sympathy for her children. Here’s the rest of the story.","My mother’s essay in this blog drew outrage and a bit of sympathy for her children. Here’s the rest of the story.","Last November, the week of my mother’s 86th birthday, her essay ran in this blog under the headline, “A Very Ungrateful Old Lady.” She explained — somewhat humorously, more than a little bitterly — that because of her very limited vision and her weakening, aging body, she was increasingly dependent on her children, and that it made her feel like a burden to be cared for and tended, even when the care came with love.","The New York Times","2014-05-27T09:00:08+0000","article","Health","News","nyt://article/5aaf8836-a782-5319-be1c-ce5c27520cdf",NA,"She Wasn’t So Ungrateful After All","The New Old Age",NA,NA,NA,NA,NA
